央视频道,#genre#
河南卫视,http://123.175.209.162:9003/hls/30/index.m3u8
河南卫视,http://183.185.59.1:9003/hls/30/index.m3u8
河南卫视,http://123.14.83.38:9003/hls/19/index.m3u8
河南卫视,http://123.14.88.62:9003/hls/19/index.m3u8
河南卫视,http://123.14.92.42:9003/hls/19/index.m3u8
浙江卫视,http://123.14.83.38:9003/hls/22/index.m3u8
浙江卫视,http://123.14.92.42:9003/hls/22/index.m3u8
浙江卫视,http://123.14.88.62:9003/hls/22/index.m3u8
海南卫视,http://123.175.210.247:9003/hls/28/index.m3u8
海南卫视,http://123.175.209.162:9003/hls/28/index.m3u8
海南卫视,http://183.185.59.1:9003/hls/28/index.m3u8
海南卫视,http://116.228.170.214:9003/hls/42/index.m3u8
深圳卫视,http://123.175.210.247:9003/hls/43/index.m3u8
深圳卫视,http://123.175.209.162:9003/hls/43/index.m3u8
深圳卫视,http://123.14.83.38:9003/hls/28/index.m3u8
深圳卫视,http://123.14.88.62:9003/hls/28/index.m3u8
深圳卫视,http://123.14.92.42:9003/hls/28/index.m3u8
湖北卫视,http://123.175.210.247:9003/hls/32/index.m3u8
湖北卫视,http://183.185.59.1:9003/hls/32/index.m3u8
湖北卫视,http://123.175.209.162:9003/hls/32/index.m3u8
湖北卫视,http://123.14.83.38:9003/hls/30/index.m3u8
湖北卫视,http://123.14.88.62:9003/hls/30/index.m3u8
湖北卫视,http://123.14.92.42:9003/hls/30/index.m3u8
湖南卫视,http://183.185.59.1:9003/hls/33/index.m3u8
湖南卫视,http://123.14.83.38:9003/hls/20/index.m3u8
湖南卫视,http://123.14.88.62:9003/hls/20/index.m3u8
湖南卫视,http://123.14.92.42:9003/hls/20/index.m3u8
湖南卫视超,http://171.38.223.6:9003/hls/131/index.m3u8
甘肃卫视,http://183.185.59.1:9003/hls/25/index.m3u8
甘肃卫视,http://123.175.209.162:9003/hls/25/index.m3u8
甘肃卫视,http://123.175.210.247:9003/hls/25/index.m3u8
福建卫视,http://123.175.210.247:9003/hls/24/index.m3u8
福建卫视,http://183.185.59.1:9003/hls/24/index.m3u8
西藏卫视,http://171.38.223.6:9003/hls/74/index.m3u8
贵州卫视,http://171.38.223.6:9003/hls/79/index.m3u8
辽宁卫视,http://183.185.59.1:9003/hls/37/index.m3u8
辽宁卫视,http://123.175.209.162:9003/hls/37/index.m3u8
重庆卫视,http://171.38.223.6:9003/hls/58/index.m3u8
陕西卫视,http://123.175.210.247:9003/hls/42/index.m3u8
陕西卫视,http://183.185.59.1:9003/hls/42/index.m3u8
陕西卫视,http://123.175.209.162:9003/hls/42/index.m3u8
青海卫视,http://183.185.59.1:9003/hls/40/index.m3u8
青海卫视,http://123.175.210.247:9003/hls/40/index.m3u8
青海卫视,http://171.38.223.6:9003/hls/82/index.m3u8
青海卫视,http://123.175.209.162:9003/hls/40/index.m3u8
黑龙江卫视,http://183.185.59.1:9003/hls/31/index.m3u8
黑龙江卫视,http://123.175.209.162:9003/hls/31/index.m3u8
黑龙江卫视,http://123.14.83.38:9003/hls/32/index.m3u8
黑龙江卫视,http://123.14.88.62:9003/hls/32/index.m3u8
黑龙江卫视,http://123.14.92.42:9003/hls/32/index.m3u8
其他频道,#genre#
CGTN,http://123.14.83.38:9003/hls/16/index.m3u8
CGTN,http://123.14.88.62:9003/hls/16/index.m3u8
CGTN,http://123.14.92.42:9003/hls/16/index.m3u8
CHC动作电影,http://171.38.223.6:9003/hls/100/index.m3u8
CHC家庭影院,http://171.38.223.6:9003/hls/112/index.m3u8
CHIN,http://171.38.223.6:9003/hls/19/index.m3u8
中华特产,http://171.38.223.6:9003/hls/115/index.m3u8
中国教育,http://171.38.223.6:9003/hls/18/index.m3u8
中国气象,http://171.38.223.6:9003/hls/22/index.m3u8
中央新闻回放,http://171.38.223.6:9003/hls/28/index.m3u8
书画,http://171.38.223.6:9003/hls/124/index.m3u8
优优宝贝,http://171.38.223.6:9003/hls/122/index.m3u8
南方电视,http://171.38.223.6:9003/hls/42/index.m3u8
四海钓鱼,http://171.38.223.6:9003/hls/117/index.m3u8
大湾区电视,http://171.38.223.6:9003/hls/35/index.m3u8
家庭理财,http://171.38.223.6:9003/hls/121/index.m3u8
广东体育,http://171.38.223.6:9003/hls/37/index.m3u8
广东公共,http://171.38.223.6:9003/hls/43/index.m3u8
广东少儿,http://171.38.223.6:9003/hls/45/index.m3u8
广东影视,http://171.38.223.6:9003/hls/38/index.m3u8
广东戏曲,http://171.38.223.6:9003/hls/44/index.m3u8
广东珠江,http://171.38.223.6:9003/hls/39/index.m3u8
广东经济,http://171.38.223.6:9003/hls/41/index.m3u8
广州,http://171.38.223.6:9003/hls/36/index.m3u8
广西影视,http://171.38.223.6:9003/hls/23/index.m3u8
广西新闻,http://171.38.223.6:9003/hls/26/index.m3u8
广西新闻重播,http://171.38.223.6:9003/hls/27/index.m3u8
广西综艺,http://171.38.223.6:9003/hls/24/index.m3u8
广西都市,http://171.38.223.6:9003/hls/25/index.m3u8
收藏天下,http://171.38.223.6:9003/hls/95/index.m3u8
数字电视导航,http://171.38.223.6:9003/hls/111/index.m3u8
文物宝库,http://171.38.223.6:9003/hls/96/index.m3u8
梨园,http://171.38.223.6:9003/hls/119/index.m3u8
求索纪录,http://171.38.223.6:9003/hls/123/index.m3u8
灵山综合,http://171.38.223.6:9003/hls/186/index.m3u8
灵山综合,http://171.38.223.6:9003/hls/30/index.m3u8
炫动卡通,http://171.38.223.6:9003/hls/49/index.m3u8
环球旅游,http://171.38.223.6:9003/hls/113/index.m3u8
生态环境,http://171.38.223.6:9003/hls/118/index.m3u8
纪实科教,http://171.38.223.6:9003/hls/120/index.m3u8
聚鲨环球精选,http://171.38.223.6:9003/hls/114/index.m3u8
重温经典,http://171.38.223.6:9003/hls/101/index.m3u8
金鹰卡通,http://171.38.223.6:9003/hls/50/index.m3u8
钦州综合,http://171.38.223.6:9003/hls/29/index.m3u8
钦州综合,http://171.38.223.6:9003/hls/187/index.m3u8
